Wall time,Step,Value
1587729373.7354317,2762853,-2.0
1587729413.5403645,2763173,-7.0
1587729416.3989391,2763197,-12.0
1587729616.9452772,2765194,-1.0
1587729734.1283324,2766156,-2.0
1587729779.2540371,2766562,-6.0
1587730166.2109783,2771448,-6.0
1587730922.7423458,2779896,-3.0
1587731042.4050312,2781245,-21.0
1587731382.1111953,2784741,-2.0
1587732062.3441422,2792215,-4.0
1587732167.8256018,2793175,0.0
1587732265.01375,2794134,-18.0
1587732727.3594546,2798132,-8.0
1587733217.275587,2803144,-1.0
1587733480.4622538,2805689,-12.0
1587734052.9488049,2810850,-16.0
1587735411.516886,2824891,-4.0
1587735475.9703255,2825390,-5.0
1587737023.1386738,2844156,-3.0
1587737938.2315705,2852992,-8.0
1587738109.0442915,2854628,0.0
1587739037.5509455,2862461,-4.0
1587739129.5482235,2863245,-4.0
1587739158.295451,2863466,-2.0
1587739263.9839513,2864357,-5.0
1587739431.3863401,2865842,-7.0
1587739557.077933,2866937,-2.0
1587739604.866289,2867312,-5.0
1587739664.6580677,2867848,0.0
1587740247.6458623,2872979,-1.0
1587740352.3607192,2873908,-1.0
1587740442.2275684,2874862,-11.0
1587740540.4214845,2875678,-3.0
1587741525.2352362,2886178,-4.0
1587742127.0095847,2893676,-1.0
1587742438.0962987,2896627,-73.0
1587743173.0690956,2904677,-5.0
1587743492.91711,2907466,-4.0
1587743711.0054011,2909593,-3.0
1587743831.565713,2910599,-6.0
1587743872.7981358,2910960,-17.0
1587744101.019685,2913308,-5.0
1587744263.1255631,2914965,-2.0
1587744543.6873577,2917797,-11.0
1587744885.3615632,2921043,-1.0
1587745923.488463,2930682,0.0
1587746208.5198998,2933338,-7.0
1587746496.126313,2936039,-2.0
1587746764.533845,2938565,-17.0
1587747339.6877928,2943795,-3.0
1587747553.0340323,2945926,-7.0
1587747568.2522805,2946028,-1.0
1587747573.424232,2946068,-4.0
1587747721.5407312,2947807,-152.0
1587748152.1243272,2951893,-3.0
1587748236.3223329,2952635,-9.0
1587748499.0868194,2954847,-5.0
1587748586.8267536,2955628,0.0
1587749483.5131414,2963544,-6.0
1587749626.4720438,2964878,-3.0
1587750114.5246866,2969237,-5.0
1587750693.6924999,2974914,-6.0
1587750740.1539457,2975277,-7.0
1587750841.8618164,2976078,-2.0
1587750914.1442618,2976716,-3.0
1587751031.721077,2978098,-8.0
1587752145.9530063,2987714,-33.0
1587752838.997295,2994360,-1.0
1587752954.322929,2995155,0.0
1587753820.5274124,3003739,-8.0
1587754508.6888268,3010350,-2.0
1587755009.8261485,3014729,-1.0
1587755579.94358,3019624,-8.0
1587755594.1013768,3019794,-134.0
1587755886.5452847,3022210,-9.0
1587757157.9983418,3034123,-3.0
1587757185.722192,3034352,-4.0
1587757294.9466584,3035306,-2.0
1587758167.8237221,3044327,-10.0
1587758469.8812985,3047265,-16.0
1587758890.2211432,3050694,-1.0
1587759067.241226,3052116,-7.0
1587759134.3583615,3052589,-3.0
1587760516.0338483,3064062,-3.0
1587760860.7571225,3067289,-1.0
1587760868.0070484,3067339,-1.0
1587761739.5046175,3075156,-3.0
1587762355.9482005,3080218,-4.0
1587762592.7909575,3082122,-4.0
1587763159.0304792,3087140,-5.0
1587763816.250284,3092822,-12.0
1587764072.8088152,3094897,-2.0
1587764633.261837,3100089,-3.0
1587765177.31576,3106821,0.0
1587766172.1731892,3116305,-5.0
1587766750.7748096,3121746,-4.0
1587767219.5789716,3126665,-8.0
1587767232.6971273,3126789,-29.0
1587768247.1264975,3137283,-3.0
1587768391.9145124,3138510,-11.0
1587769079.035255,3145091,-4.0
1587769205.9925334,3146154,-8.0
1587769239.70347,3146401,-1.0
1587769339.1894112,3147423,-4.0
1587769439.4713845,3148565,-3.0
1587769771.2485967,3152058,-9.0
1587770168.042253,3156161,-5.0
1587770471.2289708,3158446,-4.0
1587770507.875587,3158732,-38.0
1587771776.7507527,3169798,-4.0
1587771839.6510847,3170265,0.0
1587771947.577514,3171052,-2.0
1587772359.8919423,3174382,-3.0
1587772887.5331624,3178745,-4.0
1587772941.7444384,3179256,-11.0
1587773305.8076093,3182075,-15.0
1587776292.2143455,3210272,-2.0
1587776698.5791001,3214145,-7.0
1587777407.410726,3221433,-1.0
1587777942.7656305,3226663,-18.0
1587778089.2568107,3228229,-14.0
1587778636.8076773,3233251,0.0
1587778904.1932023,3235532,-5.0
1587778934.0669394,3235724,-2.0
1587778996.250229,3236298,-2.0
1587779731.2173676,3243783,-2.0
1587779752.3708081,3243935,-7.0
1587779848.7284322,3244681,-1.0
1587780098.9226267,3246990,-1.0
1587780191.5836017,3247680,-4.0
1587780764.7666216,3253430,-3.0
1587780827.8824055,3254087,-85.0
1587781842.972542,3264963,-2.0
1587781847.5149584,3265007,-16.0
1587783045.5274408,3277132,-7.0
1587783151.775648,3278100,-10.0
